BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE
200801,10,2000,200801,11,30,13244,73539,MICHIGAN,26,2008,January,Winter Storm
200801,10,2000,200801,11,30,13244,73540,MICHIGAN,26,2008,January,Winter Storm
200801,10,1930,200801,11,0,13244,73541,MICHIGAN,26,2008,January,Winter Storm
200801,10,1930,200801,10,2330,13244,73542,MICHIGAN,26,2008,January,Winter Storm
200801,13,1300,200801,13,2300,13245,73543,MICHIGAN,26,2008,January,Winter Storm
200801,21,1400,200801,22,1300,13246,73544,MICHIGAN,26,2008,January,Winter Storm
200801,21,1800,200801,22,1200,13246,73545,MICHIGAN,26,2008,January,Winter Storm
200801,21,2100,200801,22,1100,13246,73546,MICHIGAN,26,2008,January,Winter Storm
200801,21,900,200801,22,1300,13246,73547,MICHIGAN,26,2008,January,Winter Storm
200801,21,2200,200801,22,1000,13246,73548,MICHIGAN,26,2008,January,Winter Storm
200801,21,2200,200801,22,1000,13246,73549,MICHIGAN,26,2008,January,Winter Storm
200801,21,900,200801,22,1300,13246,73550,MICHIGAN,26,2008,January,Winter Storm
200801,17,600,200801,17,1500,13247,73551,WEST VIRGINIA,54,2008,January,Winter Storm
200801,21,900,200801,22,1300,13246,73552,MICHIGAN,26,2008,January,Winter Storm
200801,22,100,200801,22,1300,13246,73553,MICHIGAN,26,2008,January,Winter Storm
200801,17,530,200801,17,1400,13247,73554,WEST VIRGINIA,54,2008,January,Winter Storm
200801,17,500,200801,17,1300,13247,73555,WEST VIRGINIA,54,2008,January,Winter Storm
200801,17,530,200801,17,1400,13247,73556,WEST VIRGINIA,54,2008,January,Winter Storm
200801,23,2200,200801,24,1200,13249,73557,MICHIGAN,26,2008,January,Winter Storm
200801,17,30,200801,17,1100,13248,73558,NORTH CAROLINA,37,2008,January,Winter Storm
200801,23,2200,200801,24,1200,13249,73559,MICHIGAN,26,2008,January,Winter Storm
200801,23,1000,200801,24,700,13249,73560,MICHIGAN,26,2008,January,Winter Storm
200801,17,30,200801,17,1200,13248,73561,NORTH CAROLINA,37,2008,January,Winter Storm
200801,23,1000,200801,24,700,13249,73562,MICHIGAN,26,2008,January,Winter Storm
