BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,county,lat,lon
200803,17,1951,200803,17,1951,15323,87205,OKLAHOMA,40,2008,March,Hail,"MESSER",34.08,-95.48
200803,17,2115,200803,17,2115,15323,87206,OKLAHOMA,40,2008,March,Hail,"TAHLEQUAH",35.92,-94.97
200803,17,2135,200803,17,2135,15323,87207,OKLAHOMA,40,2008,March,Hail,"CHEWEY",36.0711,-94.77
200803,18,45,200803,18,45,15323,87210,OKLAHOMA,40,2008,March,Hail,"TERLTON",36.2243,-96.3474
200803,15,1105,200803,15,1107,15271,87306,GEORGIA,13,2008,March,Hail,"CAVE SPG",34.0855,-85.33
200803,15,1105,200803,15,1107,15271,87309,GEORGIA,13,2008,March,Hail,"CEDARTOWN",34.0814,-85.3241
200803,15,1135,200803,15,1147,15271,87312,GEORGIA,13,2008,March,Hail,"EUHARLEE",34.15,-84.93
200803,15,1220,200803,15,1230,15271,87325,GEORGIA,13,2008,March,Hail,"BALL GROUND",34.33,-84.38
200803,15,1150,200803,15,1152,15271,87338,GEORGIA,13,2008,March,Hail,"SILVER CREEK",34.18,-85.17
200803,15,1225,200803,15,1235,15271,87339,GEORGIA,13,2008,March,Hail,"DAWSONVILLE",34.42,-84.1726
200803,15,1248,200803,15,1300,15271,87341,GEORGIA,13,2008,March,Hail,"COAL MTN",34.2547,-84.0814
200803,15,1239,200803,15,1243,15271,87342,GEORGIA,13,2008,March,Hail,"LINDALE",34.1076,-85.18
200803,15,1245,200803,15,1305,15271,87343,GEORGIA,13,2008,March,Hail,"GAINESVILLE",34.2795,-83.8052
200803,14,1658,200803,14,1703,15374,87348,ALABAMA,1,2008,March,Hail,"DOG TOWN",34.35,-85.74
200803,14,1743,200803,14,1748,15374,87349,ALABAMA,1,2008,March,Hail,"SARATOGA",34.2404,-86.176
